Job arriving time,# of container,Job elapsed time,Job type
243621,8,,2
243621,2,228,0
243781,40,,2
243941,10,36,0
244021,5,,2
244061,2,,2
244061,2,,2
244061,2,1032,0
244085,3,36,0
244357,4,,2
244397,10,48,1
244525,8,,2
244621,12,212,0
245241,5,28,1
245313,6,37,1
245369,7,156,1
245369,5,92,1
245369,8,284,0
245385,2,94,0
245465,10,89,1
245497,4,63,1
246217,10,41,0
246457,5,123,1
246585,4,87,1
246617,8,,2
246617,10,86,0
246649,8,,2
246713,8,,2
246713,8,30,1
246749,9,172,0
246941,4,121,1
246941,8,77,1
247305,7,,2
247305,3,65,0
247385,2,,2
247417,2,31,1
247737,5,,2
247881,6,262,0
248069,47,254,0
248321,3,90,0
248461,5,36,1
248769,7,,2
248841,2,1425,1
248877,3,1368,1
248909,8,357,0
249149,5,400,1
249149,2,207,1
249277,32,204,1
249365,2,113,1
249377,1,88,1
249509,1,202,1
249529,5,36,0
249977,8,35,1
250201,4,41,1
250521,10,57,0
250905,4,34,1
250941,9,159,0
251041,5,,2
251149,9,,2
251229,4,136,1
251277,3,,2
251285,1,37,1
252165,10,,2
252197,1,,2
252197,4,210,1
252277,10,76,1
252293,1,88,1
252373,10,84,0
252821,7,52,1
253061,4,32,1
253381,8,,2
253381,5,49,0
253381,5,35,0
253413,8,,2
253445,4,36,1
253485,5,25,0
253517,4,,2
253549,8,,2
253581,8,36,1
253589,1,32,0
253637,3,36,1
253685,6,35,1
253693,2,,2
253753,5,,2
253881,8,,2
253881,4,61,1
254121,10,24,1
254149,7,28,0
254197,4,,2
254197,3,,2
254253,7,64,0
254253,1,32,0
254373,6,30,0
