Job arriving time,# of container,Job elapsed time,Job type
41152,10,89,1
41160,1,63,1
41232,1,41,0
41280,1,123,1
41312,1,87,1
41316,1,,2
41316,1,86,0
41320,1,,2
41328,1,,2
41328,1,30,1
41332,9,172,0
41380,1,121,1
41380,1,77,1
41432,1,,2
41432,3,65,0
41472,1,,2
41488,1,31,1
41552,1,,2
41576,1,262,0
41580,47,254,0
41664,1,90,0
41692,1,36,1
41736,1,,2
41772,2,1425,1
41784,1,1368,1
41788,1,357,0
41836,1,400,1
41836,1,207,1
41840,32,204,1
41884,1,113,1
41896,1,88,1
42028,1,202,1
42032,1,36,0
42088,1,35,1
42144,1,41,1
42176,1,57,0
42272,1,34,1
42276,1,159,0
42296,1,,2
42308,1,,2
42328,1,136,1
42344,1,,2
42352,1,37,1
42440,1,,2
42472,1,,2
42472,1,210,1
42480,10,76,1
42496,1,88,1
42504,10,84,0
42568,1,52,1
42628,1,32,1
42668,1,,2
42668,1,49,0
42668,1,35,0
42672,1,,2
42680,1,36,1
42688,1,25,0
42696,1,,2
42700,1,,2
42704,1,36,1
42712,1,32,0
42728,1,36,1
42736,1,35,1
42740,1,,2
42752,1,,2
42768,1,,2
42768,1,61,1
42792,1,24,1
42796,1,28,0
42808,1,,2
42808,1,,2
42816,1,64,0
42816,1,32,0
42836,1,30,0
42840,1,33,0
42868,1,30,1
42964,1,,2
42964,1,1558,1
